\u1f40\u1fb0\u1f48\u2135J'espre que vous attendez\u2328autant que moi le concours\u2328de pche  la main !\u232bVoici les rgles :\u232bCelui ou celle qui pchera\u2328le plus de poissons en\u2328\u206d1 heure\u206c de temps gagnera !\u232b\u1f40\u1fb0\u1f49\u2135Facile, non ?\u2328\u232b\u1f40\u1fb0\u1f48\u2135Bon alors commenons.\u2328Veuillez tous vous\u2328diriger vers l'eau...
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135Tout le monde est prt ?\u270b\u2328Partez !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135Top !\u270b\u2328Voyons les rsultats\u2328 prsent !\u232bSi vous pouviez tous\u2328regagner la berge...
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135Tout s'est bien pass ?\u2328\u232bAvec un peu de chance,\u2328vous aurez votre nom dans\u2328le top 3 !\u232b¨ la troisime place, avec\u2328\u1000 poissons...\u270b\u2328\u1001 !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135¨ la seconde place, avec\u2328\u1000 poissons...\u270b\u2328\u1003 !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135Et enfin, le vainqueur...\u232bLe champion...\u270b\u2328Avec un total bouriffant de\u2328\u1004 poissons...\u270b\u232b\u1f40\u1fb0\u1f49\u2135\u206d\u1005\u206c !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f49\u2135Flicitations, \u1005 !\u2328Quelle dmonstration !\u232b\u1f40\u1fb0\u1f48\u2135Applaudissons tous \u1005\u2328pour cet exploit !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f49\u2135Flicitations pour ta\u2328victoire, \u232a !\u232bVoici ton prix.
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135Nous sommes tous curieux\u2328de te revoir  l'¼uvre !\u2328Une autre victoire ?
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135Alors quels sont\u2328les rsultats ?\u232bAvec un peu de chance,\u2328vous aurez votre nom dans\u2328le top 3 !\u232b¨ la troisime place, avec\u2328\u1000 poissons...\u270b\u2328\u232a !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135¨ la seconde place, avec\u2328\u1000 poissons...\u270b\u2328\u232a !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f48\u2135Et enfin, le vainqueur...\u232bLe champion...\u270b\u2328Avec un total bouriffant de\u2328\u1004 poissons...\u270b\u232b\u1f40\u1fb0\u1f49\u2135\u206d\u232a\u206c !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
\u1f40\u1fb0\u1f49\u2135Flicitations, \u232a !\u2328Quelle dmonstration !\u232b\u1f40\u1fb0\u1f48\u2135Applaudissons tous \u232a\u2328pour cet exploit !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
BlueBell, quel village !
