\u1f40\u2013\u1fc7\u1f48\u2135\u2014Bienvenue  la maison !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135Donne-moi un bonbon !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135C'est la fte de la\u2328citrouille, t'as un bonbon ?
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135Allez, c'est la fte !\u2328T'as pas un petit bonbon? \u206d◯\u206c
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u2332 Oui, attends un peu.\u2328 Je n'en ai pas.
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135Youpi, un bonbon ! Tu sais,\u2328j'aime aussi les sucettes,\u2328les sucettes  l'anis...
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135C'est quoi comme bonbon ?\u2328Je les aime bien sucrs !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135Bon, je vais attendre.\u2328H, h. J'espre\u2328qu'il est fruit. \u206d◯\u206c
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f48\u2135Arg !\u2328\u2338, tu es vraiment\u2328pas sympa !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f48\u2135Arg !\u2328Cette joie... gche...\u232bTu es vraiment pas sympa\u2328\u2338 !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f48\u2135Tu n'es pas cool !\u2328Mais pourquoi, \u2338 ?\u2328
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135Youpi !\u2328Merci beaucoup !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135Shablagou !\u2328Merci, \u2338 !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f49\u2135Merci !\u2328Je t'aime, \u2338 ! \u206d◯\u206c
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f4b\u2135Beurk.\u2328J'en veux pas !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f4a\u2135Pourquoi tu m'as donn un\u2328vieux bonbon tout nase ? Tu\u2328as un mauvais fond, \u2338 !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f4a\u2135Bah non, j'en veux pas de\u2328ce vieux bonbon !\u2328T'es pas cool, \u2338 !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f4a\u2135J'en veux pas !\u2328Je veux un bon bonbon !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
\u1f40\u1fc7\u1f4b\u2135Je veux un vrai bonbon.\u2328Pas ce truc tout pourri !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
J'adore les bonbons !
